n occurred 20 times.
list occurred 20 times.
printf occurred 17 times.
book occurred 16 times.
numofbooks occurred 14 times.
int occurred 13 times.
price occurred 12 times.
struct occurred 10 times.
void occurred 8 times.
targetcode occurred 7 times.
code occurred 7 times.
d occurred 6 times.
numofbooksptr occurred 6 times.
index occurred 6 times.
targetprice occurred 6 times.
scanf occurred 5 times.
aprice occurred 5 times.
acode occurred 5 times.
while occurred 4 times.
of occurred 4 times.
float occurred 4 times.
to occurred 4 times.
end occurred 4 times.
if occurred 4 times.
a occurred 3 times.
loadarray occurred 3 times.
? occurred 3 times.
printarray occurred 3 times.
pricesearch occurred 3 times.
codesearch occurred 3 times.
do occurred 3 times.
$ occurred 2 times.
max occurred 2 times.
f occurred 2 times.
enter occurred 2 times.
target occurred 2 times.
not occurred 2 times.
for occurred 2 times.
else occurred 1 times.
include occurred 1 times.
stdio occurred 1 times.
h occurred 1 times.
define occurred 1 times.
main occurred 1 times.
return occurred 1 times.
$0 occurred 1 times.
is occurred 1 times.
allowed occurred 1 times.
books occurred 1 times.
under occurred 1 times.
count occurred 1 times.
findprice occurred 1 times.
found occurred 1 times.
